TRANSACTION_PRODUCT_ID,DATE_POSTING,SHIP_STATE,TRANSACTION_QUANTITY,TRANSACTION_UNIT_PRICE,TRANSACTION_EXTENDED_AMOUNT
BI100007,2024-01-15,NE,19,23.16,440.04
BI100007,2024-01-15,MA,19,23.16,440.04
BI100007,2024-01-15,SE,12,23.16,277.92
BI100007,2024-01-15,SE,12,23.16,277.92
BI100007,2024-01-15,MW,17,23.16,393.72
BI100007,2024-01-15,TX,23,23.16,532.68
BI100007,2024-01-15,MTN,13,23.16,301.08
BI100007,2024-01-15,MTN,14,23.16,324.24
BI100007,2024-01-15,PSW,22,23.16,509.52
BI100007,2024-01-15,PNW,23,23.16,532.68
BI100007,2024-02-15,NE,22,23.16,509.52
BI100007,2024-02-15,MA,19,23.16,440.04
BI100007,2024-02-15,SE,15,23.16,347.4
BI100007,2024-02-15,SE,15,23.16,347.4
BI100007,2024-02-15,MW,20,23.16,463.2
BI100007,2024-02-15,TX,12,23.16,277.92
BI100007,2024-02-15,TX,13,23.16,301.08
BI100007,2024-02-15,MTN,13,23.16,301.08
BI100007,2024-02-15,MTN,14,23.16,324.24
BI100007,2024-02-15,PSW,13,23.16,301.08
BI100007,2024-02-15,PSW,13,23.16,301.08
BI100007,2024-02-15,PNW,14,23.16,324.24
BI100007,2024-02-15,PNW,14,23.16,324.24
BI100007,2024-03-15,NE,12,23.16,277.92
BI100007,2024-03-15,NE,12,23.16,277.92
BI100007,2024-03-15,MA,23,23.16,532.68
BI100007,2024-03-15,SE,17,23.16,393.72
BI100007,2024-03-15,SE,18,23.16,416.88
BI100007,2024-03-15,MW,12,23.16,277.92
BI100007,2024-03-15,MW,13,23.16,301.08
BI100007,2024-03-15,TX,15,23.16,347.4
BI100007,2024-03-15,TX,16,23.16,370.56
BI100007,2024-03-15,MTN,16,23.16,370.56
BI100007,2024-03-15,MTN,16,23.16,370.56
BI100007,2024-03-15,PSW,13,23.16,301.08
BI100007,2024-03-15,PSW,14,23.16,324.24
BI100007,2024-03-15,PNW,14,23.16,324.24
BI100007,2024-03-15,PNW,15,23.16,347.4
BI100007,2024-04-15,NE,13,23.16,301.08
